site;disturbance;season;month;gradient;measurement_replication;understory_height;canopy_cover
RH4;ausente;Primavera;Dezembro;2;1;200;89.2
RH4;ausente;Primavera;Dezembro;2;2;200;90.5
RH4;ausente;Primavera;Dezembro;2;3;200;88.2
RH4;ausente;Primavera;Dezembro;2;4;200;86.4
RH4;ausente;Primavera;Dezembro;2;5;200;83.5
RH5;ausente;Primavera;Dezembro;1;1;160;86.9
RH5;ausente;Primavera;Dezembro;1;2;200;89.2
RH5;ausente;Primavera;Dezembro;1;3;200;85.1
RH5;ausente;Primavera;Dezembro;1;4;200;84.6
RH5;ausente;Primavera;Dezembro;1;5;160;84.6
RB1;medio;Primavera;Dezembro;3;1;0;82.5
RB1;medio;Primavera;Dezembro;3;2;60;83.8
RB1;medio;Primavera;Dezembro;3;3;200;78.58
RB1;medio;Primavera;Dezembro;3;4;200;79.4
RB1;medio;Primavera;Dezembro;3;5;60;75.7
RB2;medio;Primavera;Dezembro;5;1;200;75.7
RB2;medio;Primavera;Dezembro;5;2;190;80.9
RB2;medio;Primavera;Dezembro;5;3;200;75.2
RB2;medio;Primavera;Dezembro;5;4;140;81.9
RB2;medio;Primavera;Dezembro;5;5;120;80.9
RC6;medio;Primavera;Dezembro;4;1;200;83.8
RC6;medio;Primavera;Dezembro;4;2;140;79.9
RC6;medio;Primavera;Dezembro;4;3;120;82.5
RC6;medio;Primavera;Dezembro;4;4;200;79.6
RC6;medio;Primavera;Dezembro;4;5;140;84.3
RB3;alto;Primavera;Dezembro;6;1;40;80.3
RB3;alto;Primavera;Dezembro;6;2;60;76.5
RB3;alto;Primavera;Dezembro;6;3;20;82
RB3;alto;Primavera;Dezembro;6;4;140;72.8
RB3;alto;Primavera;Dezembro;6;5;140;77.8
RA7;alto;Primavera;Dezembro;9;1;20;73.4
RA7;alto;Primavera;Dezembro;9;2;60;66.1
RA7;alto;Primavera;Dezembro;9;3;160;72.3
RA7;alto;Primavera;Dezembro;9;4;0;71
RA7;alto;Primavera;Dezembro;9;5;0;68.4
RE10;alto;Primavera;Dezembro;7;1;0;79.6
RE10;alto;Primavera;Dezembro;7;2;0;72.1
RE10;alto;Primavera;Dezembro;7;3;0;73.1
RE10;alto;Primavera;Dezembro;7;4;10;79.6
RE10;alto;Primavera;Dezembro;7;5;0;79.1
RE9;alto;Primavera;Dezembro;8;1;0;78.3
RE9;alto;Primavera;Dezembro;8;2;80;78.6
RE9;alto;Primavera;Dezembro;8;3;80;79.9
RE9;alto;Primavera;Dezembro;8;4;0;83.9
RE9;alto;Primavera;Dezembro;8;5;0;78.6
RH4;ausente;Inverno;Agosto;2;1;120;88.7
RH4;ausente;Inverno;Agosto;2;2;60;83.3
RH4;ausente;Inverno;Agosto;2;3;180;87.9
RH4;ausente;Inverno;Agosto;2;4;140;83.5
RH4;ausente;Inverno;Agosto;2;5;120;85.6
RH5;ausente;Inverno;Agosto;1;1;160;86.6
RH5;ausente;Inverno;Agosto;1;2;120;85.6
RH5;ausente;Inverno;Agosto;1;3;200;86.4
RH5;ausente;Inverno;Agosto;1;4;100;84.8
RH5;ausente;Inverno;Agosto;1;5;120;86.1
RB1;medio;Inverno;Agosto;3;1;200;72.9
RB1;medio;Inverno;Agosto;3;2;60;72.9
RB1;medio;Inverno;Agosto;3;3;40;77.5
RB1;medio;Inverno;Agosto;3;4;20;75.5
RB1;medio;Inverno;Agosto;3;5;80;78.3
RC6;medio;Inverno;Agosto;4;1;140;73.6
