family;subfamily;tribe;species;n.ind;site;disturbance;date;month;gradient;season.year;season;year;temperature.initial;temperature.final;mean.temperature;humidity.initial;humidity.final;mean.humidity
Nymphalidae;Satyrinae;Satyrini;Cissia phronius;1;RB1;medio;12/12/2014;Dez.01;3;Ver1;Verao;Ano1;25.7;28;26.85;72;59;65.5
Nymphalidae;Biblidinae;Biblidini;Biblis hyperia ;1;RB2;medio;12/12/2014;Dez.01;5;Ver1;Verao;Ano1;28;26.8;27.4;61.4;60;60.7
Nymphalidae;Biblidinae;Callicorini;Callicore pygas thamiris;1;RB3;alto;12/12/2014;Dez.01;6;Ver1;Verao;Ano1;28;27;27.5;61.1;62;61.55
Nymphalidae;Charaxinae;Anaeini;Zaretis strigosus;1;RB3;alto;12/12/2014;Dez.01;6;Ver1;Verao;Ano1;28;27;27.5;61.1;62;61.55
Nymphalidae;Satyrinae;Satyrini;Paryphthimoides poltys;1;RB3;alto;12/12/2014;Dez.01;6;Ver1;Verao;Ano1;28;27;27.5;61.1;62;61.55
Nymphalidae;Nymphalinae;Coeini;Smyrna blomfildia;1;RH5;ausente;12/12/2014;Dez.01;1;Ver1;Verao;Ano1;22.7;22.7;22.7;73.2;75.2;74.2
Nymphalidae;Charaxinae;Anaeini;Memphis moruus;1;RH5;ausente;12/12/2014;Dez.01;1;Ver1;Verao;Ano1;22.7;22.7;22.7;73.2;75.2;74.2
Nymphalidae;Charaxinae;Preponini;Archaeoprepona amphimachus  ;1;RB2;medio;13/12/2014;Dez.01;5;Ver1;Verao;Ano1;23.9;24.5;24.2;79;74.3;76.65
Nymphalidae;Satyrinae;Satyrini;Cissia phronius;1;RB3;alto;13/12/2014;Dez.01;6;Ver1;Verao;Ano1;24.6;23.6;24.1;74.3;80.6;77.45
Nymphalidae;Biblidinae;Callicorini;Callicore pygas thamiris;1;RB3;alto;13/12/2014;Dez.01;6;Ver1;Verao;Ano1;24.6;23.6;24.1;74.3;80.6;77.45
Nymphalidae;Satyrinae;Satyrini;Paryphthimoides sp. ;1;RC6;medio;13/12/2014;Dez.01;4;Ver1;Verao;Ano1;25.9;25.1;25.5;65.2;74.3;69.75
Nymphalidae;Satyrinae;Satyrini;Paryphthimoides sp. ;1;RC6;medio;13/12/2014;Dez.01;4;Ver1;Verao;Ano1;25.9;25.1;25.5;65.2;74.3;69.75
Nymphalidae;Satyrinae;Brassolini;Eryphanis reevesii ;1;RA7;alto;13/12/2014;Dez.01;9;Ver1;Verao;Ano1;26.6;25.3;25.95;63.6;67.8;65.7
Nymphalidae;Satyrinae;Brassolini;Eryphanis reevesii ;1;RA7;alto;13/12/2014;Dez.01;9;Ver1;Verao;Ano1;26.6;25.3;25.95;63.6;67.8;65.7
Nymphalidae;Satyrinae;Satyrini;Cissia phronius;1;RA7;alto;13/12/2014;Dez.01;9;Ver1;Verao;Ano1;26.6;25.3;25.95;63.6;67.8;65.7
Nymphalidae;Satyrinae;Satyrini;Paryphthimoides sp. ;1;RA7;alto;13/12/2014;Dez.01;9;Ver1;Verao;Ano1;26.6;25.3;25.95;63.6;67.8;65.7
Nymphalidae;Satyrinae;Satyrini;Paryphthimoides sp. ;1;RA7;alto;13/12/2014;Dez.01;9;Ver1;Verao;Ano1;26.6;25.3;25.95;63.6;67.8;65.7
Nymphalidae;Satyrinae;Brassolini;Opsiphanes invirae;1;RA7;alto;13/12/2014;Dez.01;9;Ver1;Verao;Ano1;26.6;25.3;25.95;63.6;67.8;65.7
Nymphalidae;Satyrinae;Brassolini;Opsiphanes invirae;1;RE9;alto;13/12/2014;Dez.01;8;Ver1;Verao;Ano1;27.6;27.7;27.65;56.5;52.5;54.5
Nymphalidae;Satyrinae;Brassolini;Eryphanis reevesii ;1;RE9;alto;13/12/2014;Dez.01;8;Ver1;Verao;Ano1;27.6;27.7;27.65;56.5;52.5;54.5
Nymphalidae;Charaxinae;Anaeini;Zaretis strigosus;1;RE9;alto;13/12/2014;Dez.01;8;Ver1;Verao;Ano1;27.6;27.7;27.65;56.5;52.5;54.5
Nymphalidae;Satyrinae;Satyrini;Paryphthimoides sp. ;1;RE9;alto;13/12/2014;Dez.01;8;Ver1;Verao;Ano1;27.6;27.7;27.65;56.5;52.5;54.5
Nymphalidae;Satyrinae;Satyrini;Paryphthimoides sp. ;1;RE9;alto;13/12/2014;Dez.01;8;Ver1;Verao;Ano1;27.6;27.7;27.65;56.5;52.5;54.5
Nymphalidae;Satyrinae;Satyrini;Paryphthimoides sp. ;1;RE9;alto;13/12/2014;Dez.01;8;Ver1;Verao;Ano1;27.6;27.7;27.65;56.5;52.5;54.5
Nymphalidae;Satyrinae;Satyrini;Paryphthimoides sp. ;1;RE9;alto;13/12/2014;Dez.01;8;Ver1;Verao;Ano1;27.6;27.7;27.65;56.5;52.5;54.5
Nymphalidae;Satyrinae;Satyrini;Hermeuptychia sp.;1;RE9;alto;13/12/2014;Dez.01;8;Ver1;Verao;Ano1;27.6;27.7;27.65;56.5;52.5;54.5
