;Coord 1;Coord 2;Coord 3;Coord 4;Coord 5;Coord 6;Coord 7;Coord 8;Coord 9;Coord 10;Coord 11;Coord 12;Coord 13;Coord 14;Coord 15;Coord 16;Coord 17;Coord 18;Coord 19;Coord 20;Coord 21;Coord 22;Coord 23;Coord 24
RA7;0.048425;-0.011121;0.22842;0.034385;0.0014954;0.10812;0.25877;0.1334;0.010901;0.13067;0.024328;0.084373;0.23769;-0.16508;-0.21437;0.10366;0.47573;-0.12155;0.10805;0.11323;0.11208;-0.056745;-0.00037693;0.11338
RA7;0.19917;-0.20562;-0.16451;0.098909;-0.12024;0.029456;0.017454;0.072879;0.1964;0.04677;0.060547;-0.011024;0.010036;-0.060183;-0.26716;0.24741;0.085286;-0.022699;0.167;0.15576;-0.035555;-0.18692;-0.33681;0.11025
RA7;0.18645;-0.043511;-0.17162;0.084927;-0.17923;-0.063714;-0.048244;-0.046026;0.16949;-0.34809;0.010931;0.033214;0.19281;0.18177;0.026086;-0.083016;-0.052227;-0.061103;0.11277;-0.11535;0.12532;0.13147;0.026694;0.092365
RA7;0.073537;-0.027056;-0.36123;0.054818;0.00088754;0.071589;0.2881;-0.0082072;-0.1587;0.034808;0.11858;0.076536;0.056654;0.0054247;0.20592;-0.071932;-0.033542;0.18387;-0.01408;-0.0013996;0.046425;0.1883;-0.052806;0.19201
RA7;0.099044;0.080631;-0.25924;0.11191;-0.3213;-0.05308;0.13653;-0.040608;-0.27461;0.21039;-0.0029339;0.024738;0.17949;-0.12562;0.22713;0.1458;0.046381;0.10544;-0.30434;0.13826;-0.092542;-0.11398;-0.020098;-0.044036
RB3;0.070677;0.24821;0.020343;0.012467;0.23582;-0.096174;-0.093178;-0.082763;-0.004784;0.17584;0.068268;0.021682;-0.12987;-0.1308;0.11718;0.13307;-0.020634;-0.40948;0.01521;0.002015;-0.24518;0.0046556;-0.11401;0.37599
RB3;0.12386;-0.042654;-0.14757;-0.015092;0.080072;0.1054;-0.17486;-0.0431;-0.026299;-0.15708;-0.16936;0.043304;-0.11659;-0.14288;0.073845;0.10217;-0.13384;-0.10225;0.25895;0.16361;-0.19113;-0.035196;0.083001;-0.025207
RB3;0.070983;-0.00069028;-0.15096;-0.08385;-0.13424;0.036992;-0.14235;-0.080822;0.089419;-0.077216;-0.018256;0.12787;-0.21717;-0.2135;-0.14228;0.022534;0.1416;-0.12455;-0.012938;-0.23951;0.068786;-0.060928;0.17236;-0.19438
RB3;-0.099106;0.01342;0.044466;-0.17562;-0.0059929;0.071852;0.13643;0.043077;-0.12541;-0.034339;0.011915;-0.1636;-0.032823;-0.038333;-0.1677;-0.13785;0.22075;-0.0044842;-0.016341;0.32067;0.0076327;-0.15036;0.11502;0.07766
RB3;-0.039556;-0.04974;-0.0095116;-0.26362;0.012984;0.034526;-0.12251;-0.063184;-0.02629;0.24892;-0.070325;-0.1125;0.16837;-0.14537;0.098625;-0.25574;-0.07643;0.073269;0.0089452;-0.39815;0.20913;-0.26347;-0.092349;0.30654
RE10;0.011049;0.22357;0.24641;0.12905;0.14561;-0.07097;0.19969;0.12686;0.14997;-0.19875;-0.092691;-0.29455;-0.081693;-0.16978;0.12637;-0.086987;-0.074148;0.035547;-0.065542;0.019177;-0.081371;-0.10384;-0.15526;0.044076
RE10;-0.02284;-0.22185;0.243;0.089869;-0.2269;0.094328;0.20835;0.14349;0.20445;0.27443;-0.13772;0.04298;-0.047257;-0.067791;0.0067236;0.14002;-0.28698;0.084284;0.023625;-0.10232;-0.20149;-0.05039;-0.18203;-0.15818
RE10;0.057047;0.12519;0.13981;-0.022616;-0.24574;-0.072839;-0.051629;-0.20891;-0.080882;-0.07387;-0.17567;0.066623;0.24471;0.14778;0.1303;0.13459;0.11962;-0.16687;0.064806;-0.23899;0.018243;-0.23536;0.0075917;-0.088063
RE10;0.03364;-0.037562;0.19548;-0.039665;-0.27089;-0.063782;0.032034;0.024363;-0.12249;-0.20085;0.015383;0.23822;-0.53417;0.1013;0.0057384;0.13811;0.065907;0.10976;-0.029973;-0.028596;0.25134;0.092656;-0.091335;0.17719
RE10;-0.076902;0.17391;0.092036;-0.006447;-0.34394;-0.042112;-0.09648;-0.049206;0.15598;-0.036625;-0.10392;-0.16277;-0.077572;-0.07672;0.11492;-0.077919;-0.048643;-0.044145;0.096291;0.093097;0.13343;0.071519;-0.089144;0.034568
RE9;0.10903;0.23112;0.1159;0.15458;0.05665;-0.077237;-0.063226;0.012456;0.18852;0.29806;0.32127;0.12429;-0.10236;0.21203;-0.049819;-0.036737;0.13371;0.10091;0.043281;-0.18503;0.14103;0.26715;-0.073609;0.031595
RE9;0.061714;-0.2116;0.14946;-0.016856;0.038532;0.20669;-0.15291;-0.10624;-0.0035588;0.18462;0.17988;-0.068776;-0.11881;-0.17564;0.19076;-0.069937;-0.19292;0.019029;-0.11062;0.062336;0.12866;-0.18249;0.14689;0.037799
RE9;0.12984;0.11105;0.080202;0.025609;-0.20304;-0.085131;-0.15041;-0.010642;-0.064602;0.048538;-0.01255;-0.25386;0.11333;0.1052;-0.19845;-0.18914;-0.069905;-0.19842;-0.27805;0.04675;0.12056;0.020859;-0.069001;-0.28745
RE9;0.2111;0.048662;-0.14818;0.16073;-0.038386;-0.10595;0.11377;0.31444;-0.044035;-0.060108;0.26413;-0.17053;-0.1844;-0.0071548;0.16027;-0.15791;-0.0094522;-0.10882;-0.12676;-0.080726;0.027679;-0.055715;0.080648;0.033869
RE9;0.085971;0.16873;0.047817;-0.0055605;-0.16533;-0.093243;-0.21781;-0.19951;0.044544;0.18173;-0.014249;0.19175;0.041203;0.22051;0.067829;-0.18151;0.0086261;0.06553;-0.011575;0.39245;-0.3494;0.033573;0.092396;-0.0038613
RH4;-0.23786;-0.023776;0.084411;0.18039;0.024171;0.15937;-0.064616;0.29351;-0.020396;0.047678;-0.39478;0.40744;0.10923;-0.017946;-0.013683;-0.34349;0.006466;0.0061433;-0.12512;-0.0017105;0.072008;0.10436;0.07541;0.14332
RH4;-0.17247;-0.26321;0.059035;0.43712;0.11952;-0.59416;0.0048637;-0.1624;-0.16066;-0.02456;0.048286;0.13394;0.012581;-0.18245;-0.12736;-0.11595;-0.17203;0.060722;0.12571;0.11994;0.13791;-0.14107;0.065454;-0.044184
RH4;-0.15928;-0.18324;-0.0055587;-0.24237;0.11438;-0.14759;0.047451;0.15988;0.28712;0.097097;-0.026129;0.054741;0.12049;0.18048;0.36323;0.34096;-0.12371;-0.049099;-0.12397;0.10662;0.14227;0.11848;0.069381;-0.13954
RH4;0.023223;-0.30246;0.1284;-0.097245;0.16566;-0.081488;0.061401;-0.1944;0.044323;-0.092601;0.28533;-0.0050625;0.27111;0.13837;0.054424;0.01964;0.14514;-0.12244;-0.13076;0.040335;0.099128;0.064627;0.080774;0.042156
RH4;-0.26391;-0.056172;-0.093316;-0.11233;-0.0014299;-0.05959;0.28251;-0.16952;0.16352;-0.10082;-0.0019262;0.023614;-0.17927;-0.070787;-0.062632;-0.050941;0.068411;0.004726;-0.33011;-0.082384;-0.26444;0.10282;-0.096626;-0.086076
