"site" "random" "mean_temperature" "mean_humidity" "canopy_cover" "understory_height" "MDS1" "MDS2" "disturbance" "dominance" "abundance" "rarefied_rich"
"1" "RA7" "year1" 26.6605263157895 61.7644736842105 75.505 54 -0.00353737411140779 -0.0860454754251687 "High" 5.86991869918699 38 1.8520625889047
"2" "RA7" "year2" 27.2157894736842 57.8644736842105 75.505 54 0.644969073261224 -0.474025414660799 "High" 1.84236864053378 47 1.46716003700277
"3" "RA7" "year3" 25.2789473684211 66.5070175438596 75.505 54 0.650408088704994 -0.176055394536203 "High" 1.98958971218616 57 1.50626566416041
"4" "RA7" "year4" 28.1488235294118 67.3558823529412 75.505 54 0.766761225558229 -0.111871811383597 "High" 1.90784261948772 85 1.48151260504203
"5" "RA7" "year5" 28.8693548387097 68.8844086021505 75.505 54 0.832703188223374 0.18613674532174 "High" 3.18138691223664 151 1.69024282560708
"6" "RB1" "year1" 24.3746478873239 72.1612676056338 78.224 88.5 0.288053305765258 0.28234270819803 "Medium" 6.1400730816078 71 1.84909456740442
"7" "RB1" "year2" 22.2016666666667 65.8633333333333 78.224 88.5 0.424157893376793 -0.442805036050344 "Medium" 1.72972972972973 32 1.43548387096774
"8" "RB1" "year3" 22.5702127659574 70.0127659574468 78.224 88.5 0.453544866935612 -0.189415164149598 "Medium" 2.06641721234799 47 1.527289546716
"9" "RB1" "year4" 28.2439393939394 65.3893939393939 78.224 88.5 0.150189047553474 -0.18426692155462 "Medium" 3.59405940594059 33 1.74431818181819
"10" "RB1" "year5" 27.3556818181818 69.6806818181818 78.224 88.5 0.0101479778431315 0.265277299823548 "Medium" 8.16666666666667 70 1.89026915113868
"11" "RB2" "year1" 25.0647619047619 74.3028571428571 76.76 127.5 0.506803302853243 0.481199266964332 "Medium" 5.76923076923077 105 1.83461538461537
"12" "RB2" "year2" 23.7184210526316 68.8460526315789 76.76 127.5 0.509136999816073 -0.422662598107566 "Medium" 1.63934426229508 40 1.40000000000001
"13" "RB2" "year3" 22.0463768115942 71.5528985507246 76.76 127.5 0.579742476546707 0.00682452596548495 "Medium" 2.2031466913466 69 1.5541346973572
"14" "RB2" "year4" 28.0789473684211 64.5184210526316 76.76 127.5 0.227186284156887 0.0265169448324934 "Medium" 3.78010471204189 38 1.75533428165008
"15" "RB2" "year5" 28.1378787878788 69.9954545454545 76.76 127.5 -0.18736552577798 0.261787852075008 "Medium" 6.87012987012987 46 1.87342995169086
"16" "RB3" "year1" 26.4570652173913 69.0576086956522 77.65 82.5 0.325775187018065 0.479670874064215 "High" 7.54367201426025 92 1.87697085523172
"17" "RB3" "year2" 26.0697674418605 65.6674418604651 77.65 82.5 0.392317396564008 -0.134462860505315 "High" 2.82011605415861 54 1.65758211041231
"18" "RB3" "year3" 22.53 68.5633333333333 77.65 82.5 0.288361625463959 -0.0460728574473657 "High" 4.07239819004525 60 1.76723163841806
"19" "RB3" "year4" 29.3606060606061 62.7590909090909 77.65 82.5 -0.187796734785142 0.0637597306735337 "High" 5.11267605633803 33 1.82954545454547
"20" "RB3" "year5" 28.8181818181818 70.4522727272727 77.65 82.5 -0.145724741615882 -0.00603674985135908 "High" 4.83582089552239 36 1.81587301587301
"21" "RC6" "year1" 27.3205357142857 68.1517857142857 75.505 130.5 0.128797762936648 0.401436555065602 "Medium" 7.36150234741784 56 1.87987012987011
"22" "RC6" "year2" 25.5275 65.0325 75.505 130.5 -0.072740703023936 -0.206444487748164 "Medium" 4.44736842105263 26 1.80615384615383
"23" "RC6" "year3" 25.5 62.258064516129 75.505 130.5 -0.023966249146185 -0.234289267453403 "Medium" 4.19650655021834 31 1.78709677419354
"24" "RC6" "year4" 27.1615384615385 65.1788461538462 75.505 130.5 0.103473512349771 -0.351784472081387 "Medium" 3.63440860215054 26 1.75384615384614
"25" "RC6" "year5" 25.7833333333333 74.2944444444445 75.505 130.5 -0.256470065451557 0.132609146239641 "Medium" 5.68115942028986 28 1.85449735449736
"26" "RE10" "year1" 29.3256097560976 61.4707317073171 74.725 6.5 0.0691612205493176 0.622528012639356 "High" 4.21303258145363 41 1.78170731707317
"27" "RE10" "year2" 26.5923076923077 64.5230769230769 74.725 6.5 -0.251052682455761 -0.628077095243594 "High" 4.34939759036145 19 1.81286549707603
"28" "RE10" "year3" 25.8728070175439 69.3008771929825 74.725 6.5 0.135346920837728 0.242715607355213 "High" 6.67145790554415 57 1.86528822055139
"29" "RE10" "year4" 29.0703125 62.9890625 74.725 6.5 -0.114896468408531 -0.327127216142525 "High" 7.01369863013699 32 1.88508064516129
"30" "RE10" "year5" 29.158 73.684 74.725 6.5 -0.185977970174688 0.37642940592669 "High" 7.91756272401434 47 1.89269195189638
"31" "RE9" "year1" 28.2510204081633 63.1413265306122 77.52 27 0.461853661592898 0.542426780146518 "High" 6.40266666666667 98 1.85251420155692
"32" "RE9" "year2" 27.7352941176471 57.7264705882353 77.52 27 0.0389778248321348 -0.434517326386711 "High" 3.23834196891192 25 1.71999999999999
"33" "RE9" "year3" 24.82578125 63.709375 77.52 27 0.353040179828743 0.156047518185768 "High" 5.27835051546392 64 1.82341269841268
"34" "RE9" "year4" 28.3201219512195 64.659756097561 77.52 27 0.771220760504272 0.0183688254967543 "High" 2.38101983002833 82 1.58717253839204
"35" "RE9" "year5" 27.8151515151515 74.5060606060606 77.52 27 0.366289868881863 0.292172702422488 "High" 5.86449060336301 77 1.84039644565959
"36" "RH4" "year1" 26.4 74.24375 83.47 157 -0.86089323987389 -0.0503393715230497 "Low" 9.14285714285714 16 1.94999999999998
"37" "RH4" "year2" 24.825 66.75 83.47 157 -0.896637962634743 -1.38055706051047 "Low" 2 2 2
"38" "RH4" "year3" 24.5571428571429 69.4607142857143 83.47 157 -0.602127556172435 -0.264300861165128 "Low" 2.57894736842105 14 1.65934065934066
"39" "RH4" "year4" 28.2 69.9 83.47 157 0.0254851314102558 -0.630989406918491 "Low" 1.34246575342466 14 1.27472527472527
"40" "RH4" "year5" 29.2733333333333 73.3866666666667 83.47 157 -0.731609746119683 0.246130525659796 "Low" 3.2258064516129 20 1.72631578947369
"41" "RH5" "year1" 25.4045454545455 84.5954545454545 79.345 178 -0.662663789686903 0.929112363243974 "Low" 4.75545851528384 33 1.81439393939395
"42" "RH5" "year2" 24.9666666666667 70.6583333333333 79.345 178 -1.13387217016038 -0.696212873959411 "Low" 3.76923076923077 7 1.85714285714286
"43" "RH5" "year3" 24.835 71.195 79.345 178 -1.10938218300547 0.262094866087861 "Low" 3.125 10 1.75555555555556
"44" "RH5" "year4" 28.3 63.6846153846154 79.345 178 -1.07435163010418 0.483323242605585 "Low" 1.60952380952381 13 1.41025641025641
"45" "RH5" "year5" 29.0029411764706 77.0676470588235 79.345 178 -1.00283799065591 0.719448223810636 "Low" 3.10752688172043 17 1.72058823529412
